ROW,C1,C2,C3,C4
0,"tab:primitive:polynomials",,
1,"Orbiter Primitive Polynomials",,
1,"X","p{4cm}","X","X"
1,"$q$","Polynomial","Numerical","Relation"
1,"4 "," $X^2+X+1$ "," 7 "," $\omega^2 = \omega+1$ "
1,"8 "," $X^3 + X^2 + 1$ "," 13 "," $\gamma^3 = \gamma^2+1$ "
1,"9 "," $X^2 + X + 2$ "," 14 "," "
1,"16 "," $X^4 + X^3 + 1$ "," 25 ","$\delta^4=\delta^3+1$ "
1,"25 "," $X^{2} + X + 2$ "," 22 "," "
1,"27 "," $X^3 + 2X + 1$ "," 34 "," "
1,"32 "," $X^5 + X^2 + 1$ "," 37 "," $\eta^5=\eta^2+1$ "
1,"49 "," $X^{2} + X + 3$ "," 59 "," "
1,"64 "," $X^6 + X^5 + 1$ "," 97 "," "
1,"81 "," $X^4 + X^3 + 2$ "," 110 "," "
1,"121 "," $X^{2} + 4X + 2$ "," 167 "," "
1,"125 "," $X^3+X^2+2$ "," 152 "," "
1,"128 "," $X^7 + X^6 + 1$ "," 193 "," $\zeta^7=\zeta^6+1$ "
1,"169 "," $X^{2} + X + 2$ "," 184 "," "
1,"243 "," $X^5 + 2X + 1$ "," 250 "," "
1,"256 "," $X^8 + X^4 + X^3 + X^2 + 1$ "," 285 "," "
1,"289 "," $X^{2} + X + 3$ "," 309 "," "
1,"343 "," $X^{3} + 3X + 2$ "," 366 "," "
1,"361 "," $X^{2} + X + 2$ "," 382 "," "
1,"512 "," $ X^9 + X^4 + 1$ "," 529 "," "
1,"529 "," $X^{2} + 2X + 5$ "," 580 "," "
1,"625 "," $X^{4} + X^{3} + X + 2$ "," 326 "," "
1,"729 "," $X^6 + X^5 + 2$ "," 974 "," "
1,"841 "," $X^{2} + 5X + 2$ "," 988 "," "
1,"961 "," $X^{2} + 2X + 3$ "," 1026 "," "
1,"1024 "," $X^{10} + X^3 + 1$ "," 1033 "," "
END

